Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,RES
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,164,652,3,98,4,1,962,1,1327815,33,1111,16,223
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,299,1045,3,49,2,37,1160,25,1646337,48,1221,53,421
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,378,1270,3,36,2,25,1067,16,797014,19,1123,64,544
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,352,1207,3,43,2,65,1137,11,1053092,31,1173,79,506
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,324,1113,3,44,2,42,1730,53,123691026,7,1856,6,455
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,322,1160,3,6,3,26,1163,18,1320730,1,1244,34,451
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,222,787,3,55,2,36,982,7,848584,6,1107,41,313
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,223,803,3,6,2,5,901,19,763688,85,966,18,303
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,255,883,3,46,2,45,1113,74,1358627,56,1198,32,351
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,365,1227,3,36,2,21,1149,8,1392756,13,1199,8,526
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,288,979,3,4,2,51,625,85,397517,41,773,58,425
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,377,1222,3,24,2,5,749,88,390431,5,800,86,542
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,166,605,3,64,3,45,795,83,1369838,4,985,87,229
2,4081E+14,2,Região Nordeste,24,Rio Grande do Norte,2404,Leste Potiguar,24018,Natal,8,RM Natal,2408102,NATAL,240810205,NATAL,24081020506,R.A. NORTE,2408102031,Potengi,1,0,341,1223,3,59,2,87,1379,3,1444898,41,1456,16,459
